"id","split","category","case_type","source_file","expected_entity","question","expected_relation_types","required_sections","expected_keywords","min_keyword_hits"
"QA001","test","disease","symptom","白纹羽烂根病","白纹羽烂根病","白纹羽烂根病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","白纹羽烂根病|枝蔓|新梢|根系|枝条|白色","2"
"QA002","test","disease","method","白纹羽烂根病","白纹羽烂根病","白纹羽烂根病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","白纹羽烂根病|根部|病斑|清除|烧毁|修剪","2"
"QA003","test","pest","symptom","白星花金龟","白星花金龟","白星花金龟有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","白星花金龟|果实|蛀食|成虫|幼虫","2"
"QA004","test","pest","method","白星花金龟","白星花金龟","白星花金龟应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","白星花金龟|果实|成虫|幼虫|清除|药剂","2"
"QA005","test","pest","symptom","斑衣蜡蝉","斑衣蜡蝉","斑衣蜡蝉有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","斑衣蜡蝉|叶片|果实|枝蔓|枝条|刺吸","2"
"QA006","test","pest","method","斑衣蜡蝉","斑衣蜡蝉","斑衣蜡蝉应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","斑衣蜡蝉|叶片|枝蔓|卵|越冬|清除","2"
"QA007","test","pest","symptom","东方盔蚧","东方盔蚧","东方盔蚧有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","东方盔蚧|叶片|果穗|枝蔓|黏液|刺吸","2"
"QA008","test","pest","method","东方盔蚧","东方盔蚧","东方盔蚧应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","东方盔蚧|若虫|越冬|石硫合剂|敌敌畏|辛硫磷","2"
"QA009","test","pest","symptom","康氏粉蚧","康氏粉蚧","康氏粉蚧有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","康氏粉蚧|叶片|果粒|果穗|枝蔓|嫩梢","2"
"QA010","test","pest","method","康氏粉蚧","康氏粉蚧","康氏粉蚧应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","康氏粉蚧|枝蔓|若虫|卵|越冬|石硫合剂","2"
"QA011","test","pest","symptom","绿盲蝽","绿盲蝽","绿盲蝽有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","绿盲蝽|叶片|褐色|孔洞|刺吸","2"
"QA012","test","pest","method","绿盲蝽","绿盲蝽","绿盲蝽应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","绿盲蝽|成虫|越冬|清除","2"
